,Close,High,Open,Low
2116,0.8206185294638072,0.8263551208425564,0.8242264455328111,0.8167953139127327
2117,0.821459692208211,0.8228784191028116,0.8188726186431586,0.8186307785482838
2118,0.8197955207035075,0.8243078751388241,0.8215411615824708,0.8169651266956895
2119,0.821269298764208,0.823444560269331,0.8181037550374943,0.8147285688221522
2120,0.8226320435562191,0.8256930873758755,0.8191797506163806,0.8184064354923902
2121,0.819015359436809,0.8240333637229562,0.8215385243689486,0.8150449669533614
2122,0.8217398104582156,0.8239838172123911,0.8171780080900574,0.8154866252637409
2123,0.8227970643048291,0.8265338540420325,0.819997399873652,0.8170351994087722
2124,0.8249065216788399,0.8280644728457092,0.8219514995238173,0.8185367777242764
2125,0.8248250621106441,0.8288604623352196,0.8233362734183446,0.8199826897127971
2126,0.8251594874396024,0.828947527415679,0.8235839756274983,0.8197457620771772
2127,0.8258540388952039,0.8300957787037611,0.8241119293445465,0.8198406283863957
2128,0.825774475481177,0.8300948705915127,0.8243447836697899,0.8201089889297638
2129,0.8261973450719955,0.8308591536012776,0.8249097349687761,0.8203524575169061
2130,0.8267631311613852,0.8308321178395923,0.8248503081747091,0.8205439663796411
2131,0.8273183763652896,0.8319206379733796,0.8255256992223629,0.8210188850969917
2132,0.8279306352121101,0.8326288006315357,0.8263244972811461,0.8217172111298702
2133,0.8282689165953356,0.8329476507162595,0.8267445182151493,0.8219946725662393
2134,0.8288603198991643,0.8335916692520267,0.8272229603868397,0.8226139278341033
2135,0.8294699634966964,0.8341317492478417,0.8277531837706259,0.8230728494385617
2136,0.8299046458476047,0.8348420446607214,0.8284480031448184,0.8235115653068159
2137,0.830529526111927,0.835384597493167,0.828902015416596,0.8241021428444154
2138,0.8309592242755415,0.8359652354643529,0.8295495306688743,0.8244992921066419
2139,0.831614784301994,0.8365519941973071,0.8299784251487575,0.8250707905057703
2140,0.8321655505310627,0.8372370996964736,0.8306681164762139,0.8256352460637266
2141,0.8327274506737621,0.8377953965867646,0.8312503269595778,0.8261432089983693
2142,0.833356033852426,0.8384277448672574,0.8317888772615238,0.826769100744948
2143,0.8339109342508346,0.839058741037759,0.8324509340188231,0.8273138407386391
